customerNumber	name	status	addressLine1	addressLine2	addressLine3	city	state	zipCode	phoneNumber
CAPELE 	CAPITOL ELECTRIC CO., INC	Active	11401 N.E. MARX			PORTLAND	OR	97220	503-255-9488
CAPIGL 	CAPITOL GLAS	Active	390 SWITT AVE STE 3			S SAN FRANCISCO	CA	94080	650-615-0937
CAPPELE	CAPP ELECTRIC COMPANY	Active	AKA EVELYN BAIRD GENTRY CORP	4303 GLEBE RD		Houston	TX	77018	(713) 681-7339
CAPPI  	CAPPARELLI CONTRACTING CO-NP	Active	3100	PALISADES DRIVE		CORONA	CA	92880	951-256-8656
CAPKEE 	CAPPARELLI/KHS&S CONTRACTORS	Active		5109 EAST LA PALMA AVE	SUITE #A	ANAHEIM	CA	92807	(714) 695-3670
CAPSTA 	CAPPARELLI/KHS&S CONTRACTORS	Active	A JOINT VENTURE	2500 DEAN LESHER DRIVE	SUITE # B	CONCORD	CA	94520	(925) 677-0828
CAPSTO 	CAPSTON, INC.	Active	3651 THIRD STREET			RIVERSIDE	CA	92501	951-682-6225
CAPSEA 	CAPTURED SEA, INC.	Active	P.O. BOX 407			SUNSET BEACH	CA	90742	800-592-2652
CARDEL 	CARDINAL ELECTRIC INC.	Active	9295 CHESAPEAKE DR. STE.#F			SAN DIEGO	CA	92123	858-565-6500
CARPLU 	CARDOZA PLUMBING CORP.	Active	514 GRAND BLVD			Westbury	NY	11590	(516) 876-6900
CARSUP 	CARE SUPPLY CO, LLC***E-MAIL**	Active	********E-MAIL INVOICES*******	MWATTS@CARESUPLY.NET	2944 KRAFT DRIVE	NASHVILLE	TN	37204	(615) 369-2273
CARESYS	CAREMURA SYSTEMS INC	Active	2330 La Mirada Dr., Suite #100	Please email Invoices to:	craigu@caremura.com	VISTA	CA	92081	(619) 807-1282
CAHUSY 	CARIBE AHU SYSTEM, INC	Active	CARR 865 K5.4 BO. CANDELARIA	ARENA		Toa Baja	PR	00949	787-275-7129
CARLLC 	CARIMEX, LLC	Active	2705 N.W. 109 AVENUE			DORAL	FL	33172	(305) 418-2344
CARLFA 	CARL FAIR OVERHEAD DOOR	Active	11029 GARFIELD PL.			SOUTH GATE	CA	90280	(562) 862-1022
CARLIN 	CARLOS INTERIORS	Active	1395 EVANS			SAN FRANCISCO	CA	94124	415-550-1518
CARAIR 	CARLS A/C&SHEET METAL	Active	265 ELLIOTT RD			HENDERSON	NV	89011	702-565-8751
CARBRO 	CARLSON BROTHERS, INC	Active	17250 NEW LENOX ROAD			Joliet	IL	60433	(815) 727-2200
CARDRY 	CARLSON DRYWALL & SPRAYING	Active	705 B. WEST ST.			SUISUN	CA	94585	(707) 429-1174
CARLSY 	CARLSON SYSTEMS	Active	P.O. BOX 3036			OMAHA	NE	68103	602-276-3090
CARSYS 	CARLSON SYSTEMS	Active	8990 F ST.			OMAHA	NE	68127-1491	800-325-8343
CARLGR 	CARLTON GROUP HEALTH CARE	Active	19454 FRANQUELIN PLACE			SONOMA	CA	95476	707-935-2323
CARMAR 	CARMEL ARCHTECTURAL -COD-	Active	4907 E. LANDON DR			ANAHEIM	CA	92807	714-630-7221
CARLEL 	CAROL ELECTRIC CO, INC***JOBS*	Active	3822 CERRITOS AVE			LOS ALAMITOS	CA	90720	(562) 594-1174
CARCOR 	CAROSCIA CORPORATION DBA	Active	PRECISION STEEL ERECTORS	13152 W. BUTLER		EL MIRAGE	AZ	85335	623-566-2056
CARPAT 	CARPENTER & PATERSON, INC.	Active	434 LATIGUE ROAD			WAGGAMAN	LA	70094	973-772-1800
CARTRA 	CARPENTERS TRAINING COMMITTEE	Active	23217 KIDDER ST.			HAYWARD	CA	94545	(925) 462-9640
CACONS 	CARR CONSTRUCTION INC	Active	P.O. BOX 8638			PORTLAND	OR	97207	503-235-3514
CARRAMA	CARRARA MARBLE CO	Active	15939 PHOENIX DR			CITY OF INDUSTRY	CA	91745	(626) 961-6010
CARRCO 	CARRI CONSTRUCTION	Active	2946 E. CORONADO STREET			ANAHEIM	CA	92806	714-630-2141
CACORE 	CARRIER COMMERCIAL REFRIGERATI	Active	HEAT TRANSFER PROD, GROUP	PO BOX 1030		BREA	CA	92822-1030	(714) 672-2235
CARSWE 	CARSEY-WERNER COMPANY	Active	4024 RADFORD AVENUE	BUILDING 3		STUDIO CITY	CA	91604	818-760-5598
CARSAU 	CARSON AUTO PARTS AND INDUSTRY	Active	518 E SEPULVEDA BLVD			CARSON	CA	90745	213-549-3101
CARCON 	CARSON CONSTRUCTION MGMT,INC.	Active	4330 WEST DESERT INN ROAD	SUITE B		LAS VEGAS	NV	89102	702-876-6013
CARSME 	CARSON MECHANICAL INC.	Active	2081 RENE AVENUE			SACRAMENTO	CA	95838	916-920-3733
KEENCA 	CARSON TAHOE HOSPITAL	Active	C/O KEENAN HOPKINS	P.O. BOX 2383		CARSON CITY	NV	89702	
FROCAR 	CARSON-TAHOE REGIONAL MED CTR	Active	c/o F. RODGERS INSULATION	705 TRADEMARK DRIVE #102		RENO	NV	85921	775-851-7809
CARSCO 	CARSTENS CONSTRUCTION	Active	1206 W.HILLSDALE BL	SUITE A		SAN MATEO	CA	94403	415-349-0431
CASOPL 	CARTER & SONS PLUMBING & HEAT	Active	1021 W. HARIMAW COURT			Metairie	LA	70001	(504) 832-5924
CARTKE 	CARTER KELLY	Active	PO BOX 2211			PLACERVILLE	CA	95667	(530) 621-0950
CARTEL 	CARTIER ELECTRICAL TECHNOLO.	Active	4421 ADAM ROAD			SIMI VALLEY	CA	93063	(805) 577-9817
CARVCO 	CARVIST CORPORATION	Active	12391 LEWIS STREET	SUITE 202		GARDEN GROVE	CA		714-750-8338
CASAFI 	CASA FIRE PROTECTION, INC.	Active	723 E UNIVERSITY			MESA	AZ	85203	480-539-8868
CASTEC 	CASA TECHNOLOGY SYSTEMS, LLC	Active	1745 DEER VALLEY RD, SUITE 126			PHOENIX	AZ	85027	(623) 537-0110
CASAEL 	CASAS ELECTRIC,INC.	Active	2710 E. PATRICK LANE #2			LAS VEGAS	NV	89120	702-597-2093
CASCCO 	CASCADE CONTRACTORS SUPPLY DBA	Active	GENERAL HARDWARE DIST.	2192 VIKING DRIVE		ANCHORAGE	AK	99501	907-279-6691
CASCEL 	CASCADE ELECTRIC, INC.	Active	2940 S. PALO VERDE RD			TUCSON	AZ	85713	(520) 882-6333
CAELEC 	CASCADE ELECTRIC, LLC***	Active	PO BOX 160			BRUSH PRAIRIE	WA	98606-0160	(360) 687-1668
CASFIR 	CASCADE FIRE PROTECTION	Active	5104 W. BRINKLEY RD.			Kennewick	WA	99338-2000	(509) 783-9773
CASHEA 	CASCADE HEATING	Active	& SPECIALTIES INC.	1507 NE. FIRST ST.		BEND	OR	97701	(541) 382-8483
CASCPA 	CASCADE PACIFIC	Active	P.O. BOX 230955			TIGARD	OR	92781	800-828-8245
CASPAC 	CASCADE PACIFIC,LLC	Active	** ap@igic.com	30480 AMERICAN DRIVE		Halsey	OR	97348	541-369-1170
CAPLUM 	CASCADE PLUMBING & MECH, LLC	Active	PO BOX 701			ELMA	WA	98541-0701	(360) 470-1036
CASCAD 	CASCADE THERMAL SOLUTIONS	Active	1890 CORDELL COURT #102			EL CAJON	CA	92020	619-562-8852
CASCO  	CASCO	Active	1400 ENTERPRISE BLVD	SUITE E		W.SACRAMENTO	CA	95691	916-371-9207
CASCYL 	CASCO	Active	22765 SAVI RANCH PKWY  #F			YORBA LINDA	CA	92887	972-323-6718
CASCAZ 	CASCO SOUTHWEST MAT. HANDLING	Active	3535 E. WIER AVENUE	SUITE #3		PHOENIX	AZ	85040	602-243-1111
CAINTE 	CASE INTERIORS	Active	2707 E. CRAIG ROAD	STE H		N LAS VEGAS	NV	89030	702-646-6022
CASECO 	CASEYWOOD CORP.	Active	PO BOX 1799			NEVADA CITY	CA	95959	916-273-3883
0510500	CASH - ARIZONA	Active							
0210500	CASH - FREMONT	Active				FREMONT	CA	94538	
0110500	CASH - LA MIRADA	Active				LA MIRADA	CA	90638	
0310500	CASH - LAS VEGAS	Active							
0610500	CASH - SAN DIEGO	Active							
1110400	CASH/MC/VISA-UTAH	Active					UT		
CASHCO 	CASHCO	Active	1701 ROGERS #A			SAN JOSE	CA	95112	408-436-1310
CASCOR 	CASHEL CORPORATION***	Active	DBA INTERGRATED MEDIA SYSTEM		2805 MCGAW AVE	IRVINE	CA	92614	(714) 579-4100
CASPLU 	CASPIAN PLUMBING	Active	409 SOUTH GLENDALE #201			GLENDALE	CA	91205	818-703-0883/818-
CASTPR 	CAST PRODUCTS INSTALLATION	Active	PO BOX 87			GARDENA	CA	90248	310-532-5335
CASELE 	CASTEEL ELECTRIC, INC.	Active	1836 E. DEER VALLEY RD			PHOENIX	AZ	85024	623-247-1221
CASTLE 	CASTLE SPRINKLER CO.,ONC	Active	707 LIGHTHOUSE			PACIFIC GROVE	CA	93950	408-372-4458
CASTSP 	CASTLE SPRINKLER, INC	Active	707 LIGHTHOUSE			PACIFIC GROVE	CA	93950	408-372-4458
CASTEL 	CASTLEGATE ELECTRIC	Active	2013 W COMMONWEALTH #K			FULLERTON	CA	92633	714-738-1211
CASTCL 	CASTON, CLINT	Active	354 S. ALLEN ST.			SAN BERNADINO	CA	92408	714-888-5915
CATBROS	CATES BROTHERS CONSTRUCTION	Active	7740 S TERRACE ROAD			TEMPE	AZ	85284	480-261-9254
CATSHE 	CATES SHEET METAL INDUSTRIES	Active	15555 WEST 108TH ST			LENEXA	KS	66219	(913) 438-9911
CATHJO 	CATHAY, JOHN	Active	7970 COUNTER POINT LANE			LAS VEGAS	NV	89123	702-595-4800
CATHEA 	CATHOLIC HEALTHCARE WEST	Active	DBA ST ROSE DOMINICAN HOSP	3033 NORTH THIRD AVE		PHOENIX	AZ	85013	602-307-2100
CATJAC 	CATHOLIC HEALTHCARE WEST	Active	C/O JACOBS ENGINEERING	2940 WHIPPLE AVE	SUITE D	REDWOOD CITY	CA	94062	(480) 763-8621
CAUSEL 	CAUSEY ELECTRIC, INC.	Active	3 VANDERBILT			IRVINE	CA	92618	(949) 855-9610
CB2BUI 	CB2 BUILDERS, INC	Active	505 BEACH STREET			San Francisco	CA	94133	415-402-0360
CBCINC 	CBC INC.	Active	46-178 KAHUHIPA STREET	UNIT J		Kaneohe	HI	96744	(808) 235-6307
CBFINC 	CBF ELECTRIC INC	Active	101 HOWARD ST., STE. E			SAN FRANCISCO	CA	94105	(415) 495-3085
CBSPLU 	CBS PLUMBING AND HEATING, INC.	Active	P.O. BOX 2385			SANTA ROSA	CA	95407	(707) 585-1171
CCIMEC 	CCI MECHANICAL,INC.	Active	P.O. BOX 25788	E-MAIL INVOICES*****		SALT LAKE CITY	UT	84125-0788	(801) 973-9000
CCISOL 	CCI SOLUTIONS	Active	P.O. BOX 481			OLYMPIA	WA	98507-0481	360-943-5378
CCSPRE 	CCS PRESENTATION SYSTEMS	Active	17350 N HARTFORD DRIVE			SCOTTSDALE	AZ	85255	(480) 348-0100
CCSE   	CCSE	Active	6031 INDUSTRIAL HEIGHTS DRIVE	(CERTIFIED COMM. SVC. EQUIP)		Knoxville	TN	37909	(865) 546-8778
CDICON 	CDI CONTRACTORS, LLC	Active	3000 CANTRELL ROAD			LITTLE ROCK	AR	72203	501-666-4300
CDMCON 	CDM CONSTRUCTORS, INC.	Active	****** EMAIL INVOICES *******	9220 CLEVELAND AVE	SUITE 100	RNCHO CUCAMNGA	CA	91730	(909) 579-3500
CDMINC 	CDM DBA: CAMP DRESSER&MCKEE	Active	DBA CAMP DRESSER & MCKEE, INC.	100 PRINGLE AVE.	SUITE 300	WALNUT CREEK	CA	94596	(925) 933-2900
CECELE 	CEC ELECTRICAL, INC	Active	1275 Valley View Lane	ap@cecelectricalinc.com		IRVING	TX	75061	(817) 737-0040
CEDUTA 	CED - UTAH	Active	1819 SOUTH 900 WEST			SALT LAKE CITY	UT	84104	801-486-3501
CEDROS 	CED CONSOLIDATED ELEC. DIST	Active	503 GIUSSEPPE CT #1			ROSEVILLE	CA	95678	916-782-0621
COELSD 	CED SAN DIEGO	Active	5457 RUFFIN ROAD			SAN DIEGO	CA	92123	(858) 268-1020
CONARI 	CED-ARIZONA ELECTRICAL SUPPLY	Active	* Ldumais@aesphoenix.com	2800 WEST OSBORN ROAD		PHOENIX	AZ	85037	(602) 258-5411
0302391	CED-ESCONDIDO	Active	2160 MEYERS AVE			ESCONDIDO	CA	92029	(760)-747-2900
0302437	CED-PASO ROBLES	Active	2525 RIVERSIDE AVENUE			PASO ROBLES	CA	93446	(805)-237-0202
CEDRED 	CED-REDWOOD CITY**DUP INVOICE	Active	501 HOWLAND STREET			REDWOOD CITY	CA	94063	(650) 369-3716
CEDSAN 	CED, INC	Active	5457 RUFFIN RD.			SAN DIEGO	CA	92123	(858) 268-1020
CEDBEA 	CED/CONSOLIDATED ELEC-BEAUMONT	Active	252 W 4TH STREET, STE C			Beaumont	CA	92223	951-922-2232
0302656	CED/DAVIS WHOLESALE ELECTRIC	Active	20810 LASSEN STREET			CHATSWORTH	CA	91311	(818)-718-3030
CEDAFA 	CEDAR FASTENING	Active	1004 S FIR STREET			CEDAR CITY	UT	84720	801-865-1577
CEDROF 	CEDAR ROOFING	Active	4515 COPPER SAGE ST.	SUITE 100		LAS VEGAS	NV	89115	702-798-6757
CESIHO 	CEDAR SINAI HOSPITAL********	Active	PO BOX 48955	ATTN: ACCOUNTS PAYABLE		Los Angeles	CA	90048	(323) 866-8721
CEDCO  	CEDCO	Active	7210 PLACID			LAS VEGAS	NV	89119	702-361-6550
CEISER 	CEI ELECTRICAL SERVICE**JOBS**	Active	21424 N. 20TH AVE			PHOENIX	AZ	85027	(602) 272-6161
CEILCO 	CEILING CONCEPTS, INC	Active	10527 HUMBOLT STREET			LOS ALAMITOS	CA	90720-5401	(562) 493-8521
CEIEXP 	CEILING EXPERTS-***COD ONLY***	Active	6137 PALMAYA LANE			ORANGEVALE	CA	95662	(916) 225-5097
CEILMA 	CEILING MASTERS	Active	29296 OGBURN			SHINGLETOWN	CA	96088	916-474-3248
CEILSY 	CEILING SYSTEMS	Active	3026 HALLADAY			SANTA ANA	CA	92705-5650	714-540-1494
CEISYS 	CEILING SYSTEMS - SF-NP	Active	101 TOLAND STREET			SAN FRANCISCO	CA	94124	(415) 642-6750
CESYIN 	CEILING SYSTEMS INC	Active	110 WEST 13775 S. STE #1			DRAPER	UT	84020	(801) 858-3768
CEIGEO 	CEILINGS BY GEORGE	Active	960 E. RANCHEROS DR	STE.D		SAN MARCOS	CA	92069	760-741-6588
CEIPLU 	CEILINGS PLUS	Active	6711 E WASHINGTON			LOS ANGELES	CA	90040	323-724-8166
CEITRO 	CEITRONICS	Active	1132 N. 7TH ST			SAN JOSE	CA	95112	925-273-0010
CELNET 	CELERGY NETWORKS,INC.-W	Active	2011 PALOMAR AIRPORT RD #200			CARLSBAD	CA	92011	(760) 268-1913
CELINC 	CELLBIOSCIENCES, INC.	Active	1050 PAGE MILL RD.			PALO ALTO	CA	94304-0803	650-859-1485,
CEMCAC 	CEMCO ACOUSTICS - NP	Active	PO BOX 1404			ELK GROVE	CA	95759-1404	(916) 686-5855
CEMCUT 	CEMENT CUTTING INC	Active	3610 HANCOCK ST			SAN DIEGO	CA	92110	619-231-1735
CENFIR 	CEN CAL FIRE SYSTEMS INC	Active	P O BOX 1284			LODI	CA	95241	(209) 334-9119
CENWAL 	CEN-CAL WALl*COD DO NOT USE***	Active	880 SOUTH RIVER RDD			WEST SACRAMENTO	CA	95691	(916) 372-2320
CENCAL 	CEN-CAL/PINNACLE*USE LSUPPL	Active	DO NOT USE	7330 S CRIDER AVE		PICO RIVERA	CA	90660	(562) 942-3432
CECONT 	CENTENNIAL CONTROLS, INC	Active	10180 W HAMPDEN AVE			Denver	CO	80227	303-744-2825
CENTDW 	CENTENNIAL DRYWALL SYSTEMS, IN	Active	3599 POLARIS AVE	SUITE 2A		LAS VEGAS	NV	89103	702-876-4909
CENGLA 	CENTER GLASS CO.	Active	1601 CALLENS			VENTURA	CA	93003	805-642-0149
CELIEL 	CENTER LINE ELECTRIC INC	Active	28442 CONSTELLATION RD			VALENCIA	CA	91355	(661) 298-2275
CENSHE 	CENTER SHEET METAL, INC.	Active	1371 E. BAY AVENUE			Bronx	NY	10474	(718) 893-6700
CENTER 	CENTERLINE ERECTORS	Active	301 E. ARROW HWY.	SUITE 106		SAN DIMAS	CA	91773	909-599-2433
CENHAY 	CENTIMARK - HAYWARD	Active	12 GRAND VIEW CIRCLE	****REQUIRE HARD COPY OF PO***		CANONSBURG	PA	15317	(510) 921-5500
CENTIM 	CENTIMARK121	Active	12 GRANDVIEW CIRCLE			CANONSBURG	PA	15317	(800) 779-4134
CENTCE 	CENTRAL CEILING SYSTEMS, INC.	Active	P.O. BOX 47			DEERFIELD	WI	53531	608-764-5445
CENDEV 	CENTRAL DEVELOPMENT INC.	Active	2550 LAKEWEST DR. SUITE#50			CHICO	CA	95973	530-897-6458
CENTELE	CENTRAL ELECTRIC ENT & CO	Active	2320 SW 36th STREET			San Antonio	TX	78237	(210) 433-9999
CENENT 	CENTRAL ENTERPRISES	Active	22349 LA PALMA AVE. #101			YORBA LINDA	CA	92887	(714) 692-8272
CENTGA 	CENTRAL GARDEN&PET	Active	4601 FLORIN-PERKINS ROAD	SUITE 200		SACRAMENTO	CA	95826	(916) 387-2170
CENTRG 	CENTRAL GLASS CO.	Active	5886 S. CENTRAL AVE	SELL COD-PER #30		LOS ANGELES	CA	90001	213-233-3284
CENILEL	CENTRAL ILLINOIS ELECTRICAL SV	Active	4600 ENTERPRISE DRIVE			BARTONVILLE	IL	61607	(309) 633-6900
CENORE 	CENTRAL OREGON HEATING&COOLING	Active	2516 SW GLACIER PLACE			REDMOND	OR	97756	(541) 923-1855
CENPAC 	CENTRAL PACIFIC SPRINKLER	Active	P.O. BOX 661595			SACRAMENTO	CA	95866-1595	916-487-2080
CENTPA 	CENTRAL PACIFIC SPRINKLER	Active	P.O. BOX 661595			SACRAMENTO	CA	95866-1595	916-487-2080
CENSTAT	CENTRAL STATES INDUSTRIAL EQUI	Active	2700 N PARTNERSHIP BLVD			SPRINGFIELD,	MO	65803	(417) 831-1411
0301608	CENTRAL SUPPLY-HILO	Active	31 MAKAALA ST			Hilo	HI	96720	(808) 961-5855
CTRSUP 	CENTRAL SUPPLY, INC.	Active	31 MAKAALA STREET			96720			808-961-5855
C1010  	CENTRAL VALLEY BUILDERS SUPPLY	Active	7030 CANBY AVENUE			RESEDA	CA	91335-4301	818-343-4614
CENVAL 	CENTRAL VALLEY COMM., INC.*COD	Active	CUSTOMER CLOSED ACCT**********	5013 FORNI DRIVE	SUITE D	CONCORD	CA	94520	925-677-7214
CENTVA 	CENTRAL VALLEY DRYWALL	Active	1921 ARROYO VISTA WAY			EL DORADO HILL	CA	95762	916-933-2351
CENTRV 	CENTRAL VALLEY INSUL*Close acc	Active	3588 SOUTH VALLEY VIEW			LAS VEGAS	NV	89103-1899	702-367-3131
CENWHO 	CENTRAL WHOLESALE ELECTRIC*COD	Active	DO NOT SELL OUT OF BUSINESS	DIST INC.	P.O. BOX 232	LIVERMORE	CA	94551-0232	925-245-9310
CENTAS 	CENTRIFUGAL ASSOCIATES GROUP	Active	485 SEVENTH AVE, STE 301			NEW YORK	NY	10018	212-798-3150
CENTCA 	CENTURY CABLE	Active	4344 EAGLE ROCK BLVD.			LOS ANGELES	CA	90041	213-258-3252
CENTCO 	CENTURY CONTRACTING	Active	3314 CESSNA ROAD			CHARLOTTE	NC	28208	
CENCON 	CENTURY CONTRACTORS, INC******	Active	5100 SMITH FARM RD.			Matthews	NC	28104	(704) 821-8050
CEFIRE 	CENTURY FIRE SYSTEMS, LLC	Active	Email Invoices : Larry	lcpcfs@swbell.net	490 EAGLE DRIVE	El Paso	TX	79912	915-584-0523
CENPLU 	CENTURY PLUMBING INC	Active	16870 STAGG ST.			VAN NUYS	CA	91406	818-787-2707
CENSTE 	CENTURY STEEL INC.	Active	3613 S. PROCYON AVE			LAS VEGAS	NV	89103	702-873-6733
CENTST 	CENTURY STEEL, INC.	Active	3613 S. PROCYON AVE.			LAS VEGAS	NV	89103	714-692-7082
CENWPL 	CENTURY WEST PLUMBING	Active	822 HAMPSHIRE ROAD #H			Westlake Village	CA	91361	805-777-7978
CENTWH 	CENTURY WHOLESALE ELECT.	Active	329 W. TORRANCE BLVD.			CARSON	CA	90745	(310) 532-6252
CEPHAL 	CEPHALON, INC.	Active	41 MOORES RD.			FRAZER	PA	19355	(610) 344-0200
CERAIR 	CERTIFIED AIR CONDITIONING-656	Active	7912 ARMOUR STREET			SAN DIEGO	CA	92111	(858) 292-5740
CERAMA 	CERTIFIED AIR CONT. - MATHERS	Active	7912 AMOUR ST			SAN DIEGO	CA	92111	(858) 292-5740
CERTAI 	CERTIFIED AIR TECHNOLOGIES INC	Active	5711 SCHAEFER AVENUE			CHINO	CA	91710	(909) 590-0644
CERTFA 	CERTIFIED FABRICATORS, INC.	Active	6351 BURNHAM STREET			BUENA PARK	CA	90621	714-670-1491
CERFIL 	CERTIFIED FILTER SERVICE-NP	Active	P.O. BOX 802035			SANTA CLARITA	CA	91380-2035	(818) 843-2495
C1035  	CERTIFIED WHOLESALE ELECTRIC	Active	3653 SAN FERNANDO RD.			GLENDALE	CA	91204	323-245-7783
C1048  	CES - LONG BEACH	Active	2786 TEMPLE AVE.			LONG BEACH	CA	90806	562-426-3311
CFIMECH	CFI MECHANICAL , INC	Active	6109 BRITTMOORE			Houston	TX	77041	(832) 467-8200
CFMECH 	CFM MECHANICAL, LLC	Active	2849 E. CHAMBERS ST			PHOENIX	AZ	85040	(602) 490-3900
CFMMEC 	CFM MECHANICAL, LLC-NP	Active	2849 E. CHAMBERS ST			PHOENIX	AZ	85040	(602) 490-3900
CGIMEC 	CGI MECHANICAL SERVICES	Active	DBA-THE ENERGY STORE	11242 PYRITES WAY		GOLD RIVER	CA	95670	916-853-0200
CHSTON 	CH STONE-(CLOSED BUSINESS10/12	Active	DO NOT SELL CLOSED 10-31-12	& PLUMBING - BK FILED 07-20-12	13170 SPRING STREET	BALDWIN PARK	CA	91706	(626) 962-5001
CHHIEN 	CH2M HILL ENGINEERS, INC.	Active	.	P O BOX 241329		Denver	CO	80224	(503) 224-6040
CHASNV 	CHABAD OF SOUTHERN NEVADA	Active	DO NOT USE ACCT CLOSED 9-10-10	1261 S ARVILLE ST		LAS VEGAS	NV	89102	(702) 259-0770
CHALSH 	CHALLENGER SHEET METAL, INC.	Active	9650 CANDIDA ST.			SAN DIEGO	CA	92126	858-547-8040
CHASTE 	CHAMP STEEL	Active	633 E. YOUNG ST			SANTA ANA	CA	92705	714-427-0100
CHAMBU 	CHAMPION BUILDING SYSTEMS	Active	2332 TRIPALDI WAY			HAYWARD	CA	94545	415-782-5102
CHAMCE 	CHAMPION CEILINGS	Active	336 MT.WASHINGTON DR			LOS ANGELES	CA	90065-3145	323-223-5433
CHAMDR 	CHAMPION DRYWALL CO.INC.	Active	4065 E. LA PALMA AVE	SUITE C		ANAHEIM	CA	92807	714-632-3912
CHADRY 	CHAMPION DRYWALL, INC.	Active	3125 N. ORCHARD			MESA	AZ	85213	480-325-5111
CHAELE 	CHAMPION ELECTRIC INC	Active	3950 GARNER RD.			RIVERSIDE	CA	92501	(951) 276-9619
CHAIND 	CHAMPION INDUSTRIAL	Active	CONTR. INC.	P.O. BOX 4399		MODESTO	CA	95352	209-524-6601
CHAMAS 	CHAMPION MASONARY	Active	DBA LUKESTAR CORPORATION	3100 MEADE AVENUE		LAS VEGAS	NV	89102-7892	702-648-4884
CHANCO 	CHANDLER/HAM CONSTRUCTION INC.	Active	43334 BRYANT STREET	SUITE 9		FREMONT	CA	94539	510-657-5176
CHANSY 	CHANNEL SYSTEMS,INC.-NP10810	Active	74   98TH AVENUE			OAKLAND	CA	94603	(510) 568-7170
CHELEC 	CHAPEL ELECTRIC CO, LLC	Active	1985 FOUNDERS DRIVE			Dayton	OH	45420	937-222-2290
CHAPEL 	CHAPEL ELECTRIC CO., LLC	Active	207 E. SIXTH ST.			DAYTON	OH	45402	937-222-2290
CHAPPD 	CHAPPARAL PAINT AND DRYWALL	Active	2601 S HIGHLAND	SUITE 4		LAS VEGAS	NV	89109-1180	702-369-1629
CHARJA 	CHARLES E JARRELL CONTRACTING	Active	4208 RIDER TRAIL NORTH			Earth City	MO	63045	(314) 291-0100
H1000  	CHARLES G. HARDY, INCORPORATED	Active	15723 VERMONT AVENUE			PARAMOUNT	CA	90723-4228	562-634-6560
CHAPAN 	CHARLES PANKOW BUILDERS*CLOSED	Active	******USE ACCOUNT PANGRA******	2923 BRADLEY ST	SUITE 110	PASADENA	CA	91107	(626) 304-1190
CHACON 	CHARTER CONST.	Active	980 S. HARNEY			SEATTLE,	WA	98108-2744	206-382-1900
CHAMEC 	CHARTER MECHANICAL	Active	7940 SW HUNZIKER STREET			PORTLAND	OR	97223	(503) 691-1700
CHRACO 	CHAS ROBERTS AIR CONDITING INC	Active	9828 N. 19TH AVE			PHOENIX	AZ	85021	602-943-7291
CHAROB 	CHAS ROBERTS AIR CONDITIONING	Active	AND PLMBG,INC DBA MJ SCHNEIDER	PLMBG AND MECHANICAL, INC	9828 NORTH 19TH AVENUE	PHOENIX	AZ	85021	(602) 943-7291
CHAEL  	CHASTAIN ELECTRIC	Active	450-F POTER RD.			DIXON	CA	95620	707-678-2046
CHATEL 	CHATEAU ELECTRIC	Active	7075 COMMERCE CIRCLE	SUITE D		PLEASANTON	CA	94588	510-463-9113
CHATIN 	CHATTIN INDUSTRIES, INC	Active	7745 GREENBACK LANE	SUITE 210		CITRUS HEIGHTS	CA	95610	916-726-8416
0510200	CHECK - ARIZONA	Active				GLENDALE	AZ		
0210200	CHECK - FREMONT	Active							
0310200	CHECK - LAS VEGAS	Active							
0110200	CHECK-LA MIRADA	Active				LA MIRADA	CA	90638	
CHECOM 	CHECKMARK COMPACTOR SERVICES	Active	P.O. BOX 634			NEWARK	CA	94560	(510) 579-0032
CHCOIN 	CHECKPOINT COMMUNICATIONS	Active	15412 ELECTRONIC LANE	SUITE 102		HUNT. BEACH	CA	92649	714-892-5050
0710200	CHECKS - ISAT	Active				LA MIRADA	CA	90638	
9910200	CHECKS- GEN SEISMIC	Active				LA MIRADA	CA	90638	
0410200	CHECKS-SACRAMENTO	Active							
CHEMCO 	CHEMCO PRODUCTS CO	Active	19402 SUSANA ROAD			RANCHO DOMINGUEZ	CA	90221	562-602-2116
CHERIN 	CHERRINGTON, INC	Active	3035 SOUTH 3600 WEST			WEST VALLEY	UT	84119	801-972-9522
CHERCI 	CHERRY CITY ELECTRIC	Active	1596 22ND ST S.E.	Please email ALL Inv to :	cceinvoices@cherrycityelectric	SALEM	OR	97302	(503) 566-5600
CHEVEN 	CHEVRON ENERGY SOLUTIONS CO.	Active	345 CALIFORNIA STREET	18TH FLOOR		SAN FRANCISCO	CA	94104	415-733-4500
CHEWWI 	CHEWNING & WILMER	Active	2508 MECHANICSVILLE TRNPK			RICHMOND	VA	23223	804-231-7373
CHIFLA 	CHICAGO FLAMEPROFF AND WOOD	Active	P.O. BOX 318			Montgomery	IL	60538	(630) 859-0009
CHIPAI 	CHICAGO PAINTING, INC	Active	5280 S. VALLEY VIEW BLVD			LAS VEGAS	NV	89118	702-871-9298
CHIDRY 	CHICO DRYWALL &STUCCO SUPPLY-W	Active	21 VALLEY COURT			CHICO	CA	95973	(530) 895-1668
CHIELE 	CHICO ELECTRIC	Active	36 W. EATON RD.			CHICO	CA	95973	(530) 891-1933
CHIEAU 	CHIEF AUTO PARTS	Active	16069 SHOEMAKER AVE			CERRITOS	CA	90701	310-921-2696
